"species","PC2_body","PC3_body"
"Acrocephalus_aedon",0.48579116138138,-0.268034071950988
"Acrocephalus_aequinoctialis",0.479346125880505,0.0987939841026552
"Acrocephalus_agricola",0.597523894646786,-0.00270245629220177
"Acrocephalus_arundinaceus",0.152118651158216,0.135277071198458
"Acrocephalus_atyphus",0.592887929133571,-0.105636264256381
"Acrocephalus_australis",0.3625829376979,-0.0284092982977821
"Acrocephalus_baeticatus",0.441572817632226,0.285062161510149
"Acrocephalus_bistrigiceps",0.396347714342137,0.173662120004868
"Acrocephalus_brevipennis",0.86019840864925,0.126178691684774
"Acrocephalus_caffer",0.703485539205894,-0.059535411986008
"Acrocephalus_concinens",0.697950274134255,-0.00394339346425368
"Acrocephalus_dumetorum",0.42256137881411,0.303284579084632
"Acrocephalus_familiaris",0.700562244069384,-0.060604077339022
