"species","PC1_body","PC2_body","PC3_body"
"Accipiter_virgatus",1.07366816914701,0.464049967289796,0.243371676613747
"Aceros_cassidix",2.36050043294566,0.530415077022395,-1.01040619455876
"Aceros_comatus",1.9055543983618,2.1498877942522,-2.60378233997132
"Aceros_corrugatus",1.79293529169215,0.53902407320962,-1.12223464791137
"Aceros_everetti",2.0333939005995,0.316485106279318,-1.02524390022696
"Aceros_leucocephalus",1.90139515332294,0.2873151875035,-0.845241965290479
"Aceros_narcondami",1.75531981847351,-0.0264765479311561,-0.490376599254082
"Aceros_nipalensis",2.67031301605304,0.724189800660266,-1.85746424046045
"Aceros_plicatus",2.14758988153501,0.11217092628083,-0.736166242812518
"Aceros_subruficollis",2.20770687017703,-0.110153495929846,-0.596496395205296
"Aceros_undulatus",2.11429889800361,0.255826435776934,-1.29943246727754
