"species","distCent","distAR1","distAR3","distAR2","distMinAR"
"Spreo_fischeri",0.403922588360501,3.15217816150618,4.95087147082965,3.3938498357387,3.15217816150618
"Stachyris_ambigua",0.956980898954135,3.06810784763015,5.51148723920087,3.12823249640172,3.06810784763015
"Stachyris_capitalis",0.292198664072207,2.9352490199007,4.85590332014709,3.68510832109515,2.9352490199007
"Stachyris_chrysaea",0.579275984305828,2.99711571473101,5.1562584643389,3.39658039110624,2.99711571473101
"Stachyris_dennistouni",0.859023760466545,2.91065232988539,5.4385859824806,3.31623919043609,2.91065232988539
"Stachyris_erythroptera",0.443088060051035,3.08173893662191,5.01027299572696,3.41677708371056,3.08173893662191
"Stachyris_grammiceps",0.751502964900342,2.74156750216569,5.32381345072054,3.5470507619939,2.74156750216569
"Stachyris_herberti",1.37714536285446,2.98897155696636,5.94478911360943,3.06314234972459,2.98897155696636
"Stachyris_hypogrammica",0.79390731928284,2.84506174585681,5.37618143381878,3.41364338850411,2.84506174585681
"Stachyris_latistriata",0.81038334749758,3.19275292838575,5.33032808504869,3.10288805207518,3.10288805207518
"Stachyris_leucotis",1.40983426705432,2.52697018847099,5.97735634607552,3.51693708373635,2.52697018847099
"Stachyris_maculata",1.25256616681848,3.04402437616518,5.81126911393381,3.04046787599991,3.04046787599991
"Stachyris_melanothorax",0.521847490447704,3.06266926398128,5.08958881641547,3.37823438794044,3.06266926398128
"Stachyris_nigriceps",1.50077037187512,2.90026924170917,6.07782596314673,3.13160460587681,2.90026924170917
"Stachyris_nigricollis",1.02211504773244,2.89508114356478,5.60095527355602,3.25784414734913,2.89508114356478
"Stachyris_nigrocapitata",0.256512077728232,2.96449895790449,4.82392955958877,3.68230951578118,2.96449895790449
"Stachyris_nigrorum",0.225451125213808,3.11587213551655,4.79801549237183,3.55238261140688,3.11587213551655
"Stachyris_oglei",1.23640830744197,2.658800711649,5.81456917955808,3.42022568731575,2.658800711649
"Stachyris_plateni",0.286780075926803,2.8743246190945,4.67459881058989,3.91671919939015,2.8743246190945
"Stachyris_poliocephala",1.07891629503483,2.71952153969114,5.65912421741428,3.40931436285181,2.71952153969114
"Stachyris_pygmaea",0.547624712393164,2.63896343569754,4.9978339504307,3.88328614042958,2.63896343569754
"Stachyris_pyrrhops",1.29182250020127,3.08143861823426,5.84401178425841,2.99514919104028,2.99514919104028
"Stachyris_ruficeps",1.00359633288573,3.1833919695281,5.52746168324739,3.01085493493523,3.01085493493523
"Stachyris_rufifrons",0.201325271944008,3.0926020673892,4.78095757021371,3.58995325813866,3.0926020673892
"Stachyris_striata",0.495309551327871,2.94117188800864,5.07760756442763,3.50597288368247,2.94117188800864
"Stachyris_striolata",1.53075518881155,2.52164728782758,6.09958253840202,3.50737466590479,2.52164728782758
"Stachyris_thoracica",1.95035427551383,2.6293200900224,6.52816494248898,3.42742476640841,2.6293200900224
"Stachyris_whiteheadi",0.50693608483703,3.20599240197938,5.02600897092306,3.28712987812635,3.20599240197938
"Stactolaema_anchietae",1.38747204712423,2.64612770526348,4.13992549689514,5.09741700932904,2.64612770526348
"Stactolaema_leucotis",1.03912171746031,2.70202895617418,4.22726000076292,4.748761358269,2.70202895617418
"Stactolaema_olivacea",1.22403477462201,2.49558771572922,4.35473710081112,4.92019108733912,2.49558771572922
"Stactolaema_whytii",1.47033710241039,2.59277048196127,4.16983787853818,5.17909638873467,2.59277048196127
"Stagonopleura_bella",1.67111524187631,2.12702851523003,4.60640601679669,5.32011442169946,2.12702851523003
"Stagonopleura_guttata",1.96829764605963,2.29285546974623,4.41815410971015,5.65434172086839,2.29285546974623
"Stagonopleura_oculata",2.00917359150033,1.55452548887257,5.16176388243703,5.50010365194762,1.55452548887257
"Starnoenas_cyanocephala",0.93667680065983,3.85581256547959,4.94862132862401,2.79500984857974,2.79500984857974
"Steatornis_caripensis",0.555623873606246,2.73642898385416,5.0981342225692,3.7005201635009,2.73642898385416
"Steganopus_tricolor",1.56456913579253,4.45160078032943,5.14382052857812,2.25100396282145,2.25100396282145
"Stelgidopteryx_ruficollis",2.261112812071,4.45844207747558,2.38024147482893,5.39932042621832,2.38024147482893
"Stelgidopteryx_serripennis",1.52546272321636,3.92630732612203,3.09193359726578,4.80952436624789,3.09193359726578
"Stellula_calliope",2.33952985176716,5.49361318181425,4.03158870349018,3.12105785325137,3.12105785325137
"Stenostira_scita",0.212856451773055,3.09991039066226,4.79036529691814,3.57462303334949,3.09991039066226
"Stephanoaetus_coronatus",1.03483973082964,2.30359990050914,5.4878495440476,3.91339100590652,2.30359990050914
"Stephanophorus_diadematus",1.42906443917733,2.13584077247957,4.67029393602491,5.05666352907947,2.13584077247957
"Stephanoxis_lalandi",2.02660703066361,4.77974232296195,5.5381918973054,1.76276693333938,1.76276693333938
"Stercorarius_longicaudus",1.70673582210911,3.23311740623059,6.23950796533684,2.79129457715468,2.79129457715468
"Stercorarius_parasiticus",1.49542663114331,3.47638843718514,5.93938299401342,2.58985642631819,2.58985642631819
"Stercorarius_pomarinus",1.69772911877025,3.46933237974185,6.1641276073859,2.56035985315838,2.56035985315838
"Sterna_acuticauda",2.30589180755935,4.33000141903761,6.46345283702534,1.69435499083756,1.69435499083756
"Sterna_albifrons",2.73277141914427,4.27760624721454,7.04931155202668,1.89675550492497,1.89675550492497
"Sterna_albostriata",2.37693009571232,3.75399514257686,6.82977681985341,2.35968916118839,2.35968916118839
"Sterna_aleutica",2.15269347477156,4.1878701191864,6.35323772623902,1.83933011183005,1.83933011183005
"Sterna_anaethetus",1.86977045079503,4.28627451364927,5.88307987648851,1.87511398442538,1.87511398442538
"Sterna_antillarum",2.59801510372827,4.02904974187654,6.99054185994524,2.1349131758276,2.1349131758276
"Sterna_aurantia",2.22711578751422,3.76075660954729,6.65603675638972,2.30070859226364,2.30070859226364
"Sterna_balaenarum",2.6979886823842,4.29901064468542,6.99514109626103,1.847839252536,1.847839252536
"Sterna_bengalensis",2.4380981407709,4.54345899595941,6.49222224227435,1.48185865152914,1.48185865152914
"Sterna_bergii",2.44239345071102,4.4668867934823,6.55570475440115,1.55822505877401,1.55822505877401
"Sterna_bernsteini",2.04245533399896,4.24552157961114,6.16378356910555,1.81351458741237,1.81351458741237
"Sterna_caspia",2.02340291292829,4.01488422815126,6.29344252024848,2.01338375690789,2.01338375690789
"Sterna_dougallii",3.16588651983607,4.73755498795855,7.37721430226678,1.6018819947606,1.6018819947606
"Sterna_elegans",2.70644595827904,4.72092964984733,6.74465547309843,1.31581005726242,1.31581005726242
"Sterna_forsteri",2.42392700192964,4.16702983844025,6.71503274143912,1.89105375059944,1.89105375059944
"Sterna_fuscata",2.0079090266307,4.36823027393629,6.011409547024,1.75259043874542,1.75259043874542
"Sterna_hirundinacea",2.99930820342088,4.55035293190732,7.25649238346447,1.7205808295508,1.7205808295508
"Sterna_hirundo",2.91587681300698,4.61882196935059,7.10761927389114,1.55696054634277,1.55696054634277
"Sterna_lorata",2.89343253740233,4.59143284737375,7.09339697656141,1.57926861366874,1.57926861366874
"Sterna_lunata",1.93706085688814,4.34740169327822,5.92525274558552,1.80594007863392,1.80594007863392
"Sterna_maxima",2.23458531118513,4.32585757788394,6.36891326646774,1.70328472798365,1.70328472798365
"Sterna_nereis",2.71886974544458,4.20541101000645,7.06465433877772,1.98222014687839,1.98222014687839
"Sterna_nilotica",1.99697022459374,3.60731343658085,6.44853126394947,2.42372294568533,2.42372294568533
"Sterna_paradisaea",2.65641107367175,4.2117632740411,6.98443851096147,1.9367006358161,1.9367006358161
"Sterna_repressa",2.56933341853182,4.47533863305401,6.72537524050847,1.56982617905663,1.56982617905663
"Sterna_sandvicensis",2.67915885626857,4.67898450609678,6.73680287853785,1.35841832131146,1.35841832131146
"Sterna_saundersi",2.62286813241874,4.17386947808234,6.960109263157,1.96651159918453,1.96651159918453
"Sterna_striata",3.06058172639977,4.80184781912721,7.19428838344961,1.40636357384024,1.40636357384024
"Sterna_sumatrana",2.69388155581652,4.52853994733562,6.86122318118263,1.54877013719213,1.54877013719213
"Sterna_superciliaris",2.03486854223194,4.18925550212057,6.19514771186175,1.85913109320879,1.85913109320879
"Sterna_trudeaui",2.33508305209248,4.33887081763736,6.49705104017698,1.68560209947754,1.68560209947754
"Sterna_virgata",2.15847038882444,3.92354937996114,6.50788144919665,2.10774209983532,2.10774209983532
